uniprot_acc	uniprot_name	seq_len	uniprot_description	uniprot_organism	seq_mw
A0A075B6Y1	TRAJ30	19	T cell receptor alpha joining 30	HUMAN	NA
A0A075B6Y2	TRAJ35	20	T cell receptor alpha joining 35 (non-functional)	HUMAN	NA
A0A075B6Y3	TRAJ3	20	T cell receptor alpha joining 3	HUMAN	2439.7
A0A075B6Y4	TRAJ19	20	T cell receptor alpha joining 19 (non-functional)	HUMAN	NA
A0A075B6Y5	TRAJ47	19	T cell receptor alpha joining 47	HUMAN	NA
A0A075B6Y8	TRAJ11	20	T cell receptor alpha joining 11	HUMAN	NA
A0A075B6Y9	TRAJ42	20	T cell receptor alpha joining 42	HUMAN	2393.69
A0A075B6Z0	TRAJ22	21	T cell receptor alpha joining 22	HUMAN	NA
A0A075B6Z1	TRAJ20	19	T cell receptor alpha joining 20	HUMAN	NA
A0A075B6Z2	TRAJ56	21	T cell receptor alpha joining 56	HUMAN	NA
A0A075B6Z3	TRAJ6	21	T cell receptor alpha joining 6	HUMAN	NA
A0A075B6Z4	TRDJ4	16	T cell receptor delta joining 4	HUMAN	NA
A0A075B6Z5	TRAJ4	21	T cell receptor alpha joining 4	HUMAN	NA
A0A075B6Z8	TRAJ25	20	T cell receptor alpha joining 25 (non-functional)	HUMAN	NA
A0A075B6Z9	TRAJ24	21	T cell receptor alpha joining 24	HUMAN	NA
A0A075B700	TRAJ31	18	T cell receptor alpha joining 31	HUMAN	2280.56
A0A075B702	TRAJ41	21	T cell receptor alpha joining 41	HUMAN	NA
A0A075B704	TRAJ57	21	T cell receptor alpha joining 57	HUMAN	NA
A0A075B706	TRDJ1	16	T cell receptor delta joining 1	HUMAN	2031.3
A0A075B708	TRAJ61	20	T cell receptor alpha joining 61 (non-functional)	HUMAN	NA
A0A075B709	TRAJ13	21	T cell receptor alpha joining 13	HUMAN	NA
A0A075B710	TRAJ39	21	T cell receptor alpha joining 39	HUMAN	NA
A0A075B711	TRAJ29	20	T cell receptor alpha joining 29	HUMAN	NA
A0A075B712	TRAJ54	20	T cell receptor alpha joining 54	HUMAN	NA
A0A075B713	TRAJ1	21	T cell receptor alpha joining 1 (non-functional)	HUMAN	NA
A0A075B714	TRAJ7	20	T cell receptor alpha joining 7	HUMAN	NA
A0A075B734	LOC100509620	347	Uncharacterized protein	HUMAN	44211.09
A0A075B759	PPIAL4E	164	Peptidyl-prolyl cis-trans isomerase A-like 4E	HUMAN	21133.55
A0A075B767	PPIAL4H	164	Peptidyl-prolyl cis-trans isomerase A-like 4H	HUMAN	21144.58
A0A075B7B6	IGHV4OR15-8	117	Ig-like domain-containing protein	HUMAN	15088.83
A0A075B7B8	IGHV3OR16-12	117	IGv domain-containing protein	HUMAN	14964.51
A0A075B7B9	IGHD2OR15-2B	11	Protein IGHD2OR15-2A	HUMAN	NA
A0A075B7D0	IGHV1OR15-1	117	Ig-like domain-containing protein	HUMAN	15101.62
A0A075B7D4	IGKV1OR2-108	117	Ig-like domain-containing protein	HUMAN	14625.15
A0A075B7D8	IGHV3OR15-7	119	Ig-like domain-containing protein	HUMAN	15206
A0A075B7E0	IGHD3OR15-3B	11	Protein IGHD3OR15-3A	HUMAN	NA
A0A075B7E8	IGHV3OR16-13	117	Ig-like domain-containing protein	HUMAN	14993.68
A0A075B7F0	IGHV3OR16-10	116	Ig-like domain-containing protein	HUMAN	14651.38
A0A075B7F1	IGHV3OR16-8	116	Ig-like domain-containing protein	HUMAN	14775.21
A0A087WSX0	IGLV5-45	123	Immunoglobulin lambda variable 5-45	HUMAN	15359.84
A0A087WSY4	IGHV4-30-2	118	Immunoglobulin heavy variable 4-30-2	HUMAN	15132.85
A0A087WSY6	IGKV3D-15	115	Immunoglobulin kappa variable 3D-15	HUMAN	14588.15
A0A087WSZ0	IGKV1D-8	117	Immunoglobulin kappa variable 1D-8	HUMAN	14926.67
A0A087WSZ9	TRAV30	112	T cell receptor alpha variable 30	HUMAN	14582.24
A0A087WT01	TRAV27	109	T cell receptor alpha variable 27	HUMAN	13988.63
A0A087WT02	TRAV9-2	112	T cell receptor alpha variable 9-2	HUMAN	14288.8
A0A087WT03	TRAV26-1	109	T cell receptor alpha variable 26-1	HUMAN	14251.91
A0A087WTH1	TMEM265	108	Transmembrane protein 265	HUMAN	13759.97
A0A087WTH5	KCNE1B	132	Potassium voltage-gated channel subfamily E member 1B	HUMAN	17388.42
A0A087WU04	TRAJ36	20	T cell receptor alpha joining 36	HUMAN	NA
A0A087WUL8	NBPF19	3843	Neuroblastoma breakpoint family member 19	HUMAN	509627.970000007
A0A087WUV0	ENSG00000233757	522	Uncharacterized protein	HUMAN	68961.1300000002
A0A087WV53	SPEGNB	238	SPEG neighbor protein	HUMAN	30345.51
A0A087WV62	TRBV16	115	T cell receptor beta variable 16	HUMAN	14898.75
A0A087WVF3	TBC1D3D	549	TBC1 domain family member 3D	HUMAN	72060.13
A0A087WW49	ENSG00000278263	117	Ig-like domain-containing protein	HUMAN	15033.75
A0A087WW87	IGKV2-40	121	Immunoglobulin kappa variable 2-40	HUMAN	15472.12
A0A087WWA1	P3R3URF	95	PIK3R3 upstream open reading frame protein	HUMAN	12645.41
A0A087WWU0	ENSG00000278646	41	Uncharacterized protein	HUMAN	NA
A0A087WX78	ELOA3C	387	Putative elongin-A3 member C	HUMAN	48628.8499999999
A0A087WXM9	MEIKIN	373	Meiosis-specific kinetochore protein	HUMAN	47530.78
A0A087WXS9	TBC1D3I	549	TBC1 domain family member 3I	HUMAN	72078.16
A0A087WYE8	IGHV1OR21-1	117	Ig-like domain-containing protein	HUMAN	15112.9
A0A087WZ39	TRBV15	114	IGv domain-containing protein	HUMAN	14976.62
A0A087X096	TRAJ37	22	T cell receptor alpha joining 37	HUMAN	NA
A0A087X0K7	TRBV17	114	Ig-like domain-containing protein	HUMAN	14998.75
A0A087X0M5	TRBV18	115	T cell receptor beta variable 18	HUMAN	15082.06
A0A087X179	TBC1D3E	549	TBC1 domain family member 3E	HUMAN	72004.11
A0A087X1A0	ZDHHC11B	142	Probable palmitoyltransferase ZDHHC11B	HUMAN	18286.16
A0A087X1C1	TMSB15B	80	Thymosin beta-15B	HUMAN	10502.58
A0A087X1C5	CYP2D7	515	Putative cytochrome P450 2D7	HUMAN	66749.47
A0A087X1G2	TBC1D3K	549	TBC1 domain family member 3K	HUMAN	72044.22
A0A087X1L8	LOC102723996	192	Ig-like domain-containing protein	HUMAN	24437.33
A0A096LNP1	DEFB131B	70	Beta-defensin 131B	HUMAN	9398.7
A0A096LNW5	ENSG00000286106	274	Uncharacterized protein	HUMAN	34976.99
A0A096LP01	SMIM26	95	Small integral membrane protein 26	HUMAN	12601.73
A0A096LP49	CCDC187	1063	Coiled-coil domain-containing protein 187	HUMAN	133989.99
A0A096LP55	UQCRHL	91	Cytochrome b-c1 complex subunit 6-like, mitochondrial	HUMAN	12373.27
A0A096LPG2	ENSG00000269167	23	Uncharacterized protein	HUMAN	3100.5
A0A096LPH7	ENSG00000280433	203	Uncharacterized protein	HUMAN	25851.39
A0A096LPI5	CCDC28A-AS1	108	Putative uncharacterized protein CCDC28A-AS1	HUMAN	13916.55
A0A096LPK6	ENSG00000279493	155	Uncharacterized protein	HUMAN	20726.18
A0A0A0MRZ7	IGKV2D-26	120	Immunoglobulin kappa variable 2D-26	HUMAN	15441.12
A0A0A0MRZ8	IGKV3D-11	115	Immunoglobulin kappa variable 3D-11	HUMAN	14679.16
A0A0A0MRZ9	IGLV5-52	124	Immunoglobulin lambda variable 5-52	HUMAN	15662.01
A0A0A0MS00	IGLV3-32	114	Probable non-functional immunoglobulin lambda variable 3-32	HUMAN	14390.68
A0A0A0MS01	TRGV10	117	Ig-like domain-containing protein	HUMAN	15303.24
A0A0A0MS02	TRGV1	117	Ig-like domain-containing protein	HUMAN	15337.93
A0A0A0MS03	TRBV5-3	114	Ig-like domain-containing protein	HUMAN	14632.12
A0A0A0MS04	TRBV6-7	114	IGv domain-containing protein	HUMAN	14624.32
A0A0A0MS05	TRBV5-7	114	IGv domain-containing protein	HUMAN	14421.88
A0A0A0MS06	TRBV23-1	115	Ig-like domain-containing protein	HUMAN	14838.69
A0A0A0MS14	IGHV1-45	117	Immunoglobulin heavy variable 1-45	HUMAN	15598.29
A0A0A0MS15	IGHV3-49	119	Immunoglobulin heavy variable 3-49	HUMAN	15181.91
A0A0A0MT36	IGKV6D-21	114	Immunoglobulin kappa variable 6D-21	HUMAN	14375.76
A0A0A0MT69	IGKJ4	12	Immunoglobulin kappa joining 4	HUMAN	1447.66
A0A0A0MT70	TRBJ2-6	17	T cell receptor beta joining 2-6	HUMAN	1951.18
A0A0A0MT76	IGLJ1	42	Immunoglobulin lambda joining 1	HUMAN	5514.19
A0A0A0MT78	TRBJ2-7	15	T cell receptor beta joining 2-7	HUMAN	1971.1
A0A0A0MT82	IGLJ2	47	Immunoglobulin lambda joining 2	HUMAN	5295.92
A0A0A0MT84	TRGJP2	20	T cell receptor gamma joining P2	HUMAN	NA
A0A0A0MT85	IGKJ2	13	Immunoglobulin kappa joining 2	HUMAN	NA
A0A0A0MT86	IGLJ5	24	Immunoglobulin lambda joining 5 (non-functional)	HUMAN	3207.51
A0A0A0MT87	TRBJ2-4	16	T cell receptor beta joining 2-4	HUMAN	2008.28
A0A0A0MT89	IGKJ1	12	Immunoglobulin kappa joining 1	HUMAN	1591.79
A0A0A0MT92	IGLJ7	15	Immunoglobulin lambda joining 7	HUMAN	1717.98
A0A0A0MT93	IGLJ6	23	Immunoglobulin lambda joining 6	HUMAN	2768.17
A0A0A0MT94	TRBJ2-2	16	T cell receptor beta joining 2-2	HUMAN	2010.19
A0A0A0MT96	IGKJ3	13	Immunoglobulin kappa joining 3	HUMAN	NA
A0A0A0MT97	TRGJP1	20	T cell receptor gamma joining P1	HUMAN	NA
A0A0A0MT99	IGLJ3	50	Immunoglobulin lambda joining 3	HUMAN	6372.09
A0A0A0MTA1	IGLJ4	11	Immunoglobulin lambda joining 4 (non-functional)	HUMAN	1297.54
A0A0A0MTA2	TRBJ2-2P	15	T cell receptor beta joining 2-2P (non-functional)	HUMAN	1675
A0A0A0MTA3	IGKJ5	13	Immunoglobulin kappa joining 5	HUMAN	NA
A0A0A0MTA4	TRBJ2-5	15	T cell receptor beta joining 2-5	HUMAN	1974.21
A0A0A0MTA7	TRBJ2-1	16	T cell receptor beta joining 2-1	HUMAN	2099.28
A0A0A6YYC5	TRAV14DV4	116	T cell receptor alpha variable 14/delta variable 4	HUMAN	15002.62
A0A0A6YYD4	TRBV13	124	T cell receptor beta variable 13	HUMAN	16182.99
A0A0A6YYG2	TRBV6-6	114	T cell receptor beta variable 6-6	HUMAN	14667.44
A0A0A6YYG3	TRBV6-8	113	T cell receptor beta variable 6-8	HUMAN	14339
A0A0A6YYJ7	TRAV8-3	113	T cell receptor alpha variable 8-3	HUMAN	14693.42
A0A0A6YYK1	TRAV8-1	113	T cell receptor alpha variable 8-1	HUMAN	14805.72
A0A0A6YYK4	TRBV7-1	115	IGv domain-containing protein	HUMAN	14649.27
A0A0A6YYK6	TRAV16	109	T cell receptor alpha variable 16	HUMAN	14523.45
A0A0A6YYK7	TRAV19	116	T cell receptor alpha variable 19	HUMAN	15266.78
A0A0A6YYL3	POTEB	544	POTE ankyrin domain family member B	HUMAN	71490.9399999999
A0A0B4J1T7	LY6G6E	125	Activin_recp domain-containing protein	HUMAN	15757.93
A0A0B4J1U3	IGLV1-36	117	Immunoglobulin lambda variable 1-36	HUMAN	14567.78
A0A0B4J1U4	TRGV5	118	T cell receptor gamma variable 5	HUMAN	15709.44
A0A0B4J1U6	TRBV9	114	T cell receptor beta variable 9	HUMAN	14644.25
A0A0B4J1U7	IGHV6-1	121	Immunoglobulin heavy variable 6-1	HUMAN	15643.26
A0A0B4J1V0	IGHV3-15	119	Immunoglobulin heavy variable 3-15	HUMAN	15051.78
A0A0B4J1V1	IGHV3-21	117	Immunoglobulin heavy variable 3-21	HUMAN	14929.53
A0A0B4J1V2	IGHV2-26	119	Immunoglobulin heavy variable 2-26	HUMAN	15308.22
A0A0B4J1V6	IGHV3-73	119	Immunoglobulin heavy variable 3-73	HUMAN	14983.66
A0A0B4J1V7	IGHV7-81	117	Probable non-functional immunoglobulin heavy variable 7-81	HUMAN	15007.52
A0A0B4J1W7	NPIPA9	369	Nuclear pore complex-interacting protein family, member A9	HUMAN	48733.7099999999
A0A0B4J1X5	IGHV3-74	117	Immunoglobulin heavy variable 3-74	HUMAN	14929.56
A0A0B4J1X8	IGHV3-43	118	Immunoglobulin heavy variable 3-43	HUMAN	15184.8
A0A0B4J1Y8	IGLV9-49	123	Immunoglobulin lambda variable 9-49	HUMAN	15221.73
A0A0B4J1Y9	IGHV3-72	119	Immunoglobulin heavy variable 3-72	HUMAN	15328.92
A0A0B4J1Z2	IGKV1D-43	117	Immunoglobulin kappa variable 1D-43	HUMAN	15078.72
A0A0B4J200	TRBJ2-3	16	T cell receptor beta joining 2-3	HUMAN	2026.19
A0A0B4J234	TRAV2	112	T cell receptor alpha variable 2	HUMAN	14502.17
A0A0B4J235	TRAV13-2	113	T cell receptor alpha variable 13-2	HUMAN	14734.41
A0A0B4J237	TRAV8-2	113	T cell receptor alpha variable 8-2	HUMAN	14447.17
A0A0B4J238	TRAV1-2	106	T cell receptor alpha variable 1-2	HUMAN	13755.24
A0A0B4J240	TRAV10	114	T cell receptor alpha variable 10	HUMAN	14887.48
A0A0B4J241	TRAV13-1	112	T cell receptor alpha variable 13-1	HUMAN	14580.09
A0A0B4J244	TRAV3	114	T cell receptor alpha variable 3	HUMAN	14650.32
A0A0B4J245	TRAV12-1	112	T cell receptor alpha variable 12-1	HUMAN	14864.49
A0A0B4J248	TRAV1-1	108	T cell receptor alpha variable 1-1	HUMAN	13854.14
A0A0B4J249	TRAV5	113	T cell receptor alpha variable 5	HUMAN	14985.6
A0A0B4J262	TRAV8-6	113	T cell receptor alpha variable 8-6	HUMAN	14708.34
A0A0B4J263	TRAV39	110	T cell receptor alpha variable 39	HUMAN	14503.38
A0A0B4J264	TRAV38-1	116	T cell receptor alpha variable 38-1	HUMAN	15369.04
A0A0B4J265	TRAV26-2	109	T cell receptor alpha variable 26-2	HUMAN	14117.68
A0A0B4J266	TRAV41	112	T cell receptor alpha variable 41	HUMAN	14352.27
A0A0B4J268	TRAV4	109	T cell receptor alpha variable 4	HUMAN	14160.72
A0A0B4J271	TRAV12-3	114	T cell receptor alpha variable 12-3	HUMAN	15208.91
A0A0B4J272	TRAV24	114	T cell receptor alpha variable 24	HUMAN	14954.48
A0A0B4J273	TRAV34	112	T cell receptor alpha variable 34	HUMAN	14465.23
A0A0B4J274	TRAV20	112	T cell receptor alpha variable 20	HUMAN	14682.31
A0A0B4J275	TRAV17	112	T cell receptor alpha variable 17	HUMAN	14499.98
A0A0B4J276	TRAV25	109	T cell receptor alpha variable 25	HUMAN	14334.05
A0A0B4J277	TRAV22	110	T cell receptor alpha variable 22	HUMAN	14108.66
A0A0B4J279	TRAV21	112	T cell receptor alpha variable 21	HUMAN	14288.88
A0A0B4J280	TRAV40	105	T cell receptor alpha variable 40	HUMAN	13429.85
A0A0B4J2A2	PPIAL4C	164	Peptidyl-prolyl cis-trans isomerase A-like 4C	HUMAN	21092.5
A0A0B4J2B6	IGHV2OR16-5	119	Ig-like domain-containing protein	HUMAN	15325.32
A0A0B4J2B8	IGHV1OR15-9	117	Ig-like domain-containing protein	HUMAN	15043.87
A0A0B4J2D5	GATD3B	268	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	HUMAN	32953.05
A0A0B4J2D9	IGKV1D-13	117	Immunoglobulin kappa variable 1D-13	HUMAN	14659.25
A0A0B4J2E0	TRBV12-4	115	T cell receptor beta variable 12-4	HUMAN	15035.85
A0A0B4J2E5	LOC102724159	919	Uncharacterized protein	HUMAN	118990.62
A0A0B4J2F0	PIGBOS1	54	Protein PIGBOS1	HUMAN	7268.28
A0A0B4J2F2	SIK1B	783	Probable serine/threonine-protein kinase SIK1B	HUMAN	99019.4299999999
A0A0B4J2H0	IGHV1-69D	117	Immunoglobulin heavy variable 1-69D	HUMAN	14750.27
A0A0C4DGP1	ENSG00000286075	68	Uncharacterized protein	HUMAN	8934.45
A0A0C4DH24	IGKV6-21	114	Immunoglobulin kappa variable 6-21	HUMAN	14465.88
A0A0C4DH25	IGKV3D-20	116	Immunoglobulin kappa variable 3D-20	HUMAN	14586.99
A0A0C4DH26	IGKV6D-41	115	Probable non-functional immunoglobulin kappa variable 6D-41	HUMAN	14624.17
A0A0C4DH27	TRGV8	118	T cell receptor gamma variable 8	HUMAN	15443.13
A0A0C4DH28	TRGV4	118	T cell receptor gamma variable 4	HUMAN	15259.73
A0A0C4DH29	IGHV1-3	117	Immunoglobulin heavy variable 1-3	HUMAN	15097.68
A0A0C4DH30	IGHV3-16	117	Probable non-functional immunoglobulin heavy variable 3-16	HUMAN	15159.82
A0A0C4DH31	IGHV1-18	117	Immunoglobulin heavy variable 1-18	HUMAN	14910.39
A0A0C4DH32	IGHV3-20	117	Immunoglobulin heavy variable 3-20	HUMAN	14763.32
A0A0C4DH33	IGHV1-24	117	Immunoglobulin heavy variable 1-24	HUMAN	14914.46
A0A0C4DH34	IGHV4-28	117	Immunoglobulin heavy variable 4-28	HUMAN	15213.97
A0A0C4DH35	IGHV3-35	117	Probable non-functional immunoglobulin heavy variable 3-35	HUMAN	14900.38
A0A0C4DH36	IGHV3-38	116	Probable non-functional immunoglobulin heavy variable 3-38	HUMAN	14830.45
A0A0C4DH38	IGHV5-51	117	Immunoglobulin heavy variable 5-51	HUMAN	14764.52
A0A0C4DH39	IGHV1-58	117	Immunoglobulin heavy variable 1-58	HUMAN	15094.75
A0A0C4DH41	IGHV4-61	118	Immunoglobulin heavy variable 4-61	HUMAN	15173.83
A0A0C4DH42	IGHV3-66	116	Immunoglobulin heavy variable 3-66	HUMAN	14770.42
A0A0C4DH43	IGHV2-70D	119	Immunoglobulin heavy variable 2-70D	HUMAN	15438.44
A0A0C4DH55	IGKV3D-7	119	Immunoglobulin kappa variable 3D-7	HUMAN	15273.76
A0A0C4DH59	TRBV5-4	114	T cell receptor beta variable 5-4	HUMAN	14553.95
A0A0C4DH62	IGHJ1	17	Immunoglobulin heavy joining 1	HUMAN	2198.34
A0A0C4DH63	TRGJP	20	T cell receptor gamma joining P	HUMAN	2469.93
A0A0C4DH67	IGKV1-8	115	Immunoglobulin kappa variable 1-8	HUMAN	14591.22
A0A0C4DH68	IGKV2-24	120	Immunoglobulin kappa variable 2-24	HUMAN	15223
A0A0C4DH69	IGKV1-9	117	Immunoglobulin kappa variable 1-9	HUMAN	14804.5
A0A0C4DH72	IGKV1-6	117	Immunoglobulin kappa variable 1-6	HUMAN	14787.46
A0A0C4DH73	IGKV1-12	117	Immunoglobulin kappa variable 1-12	HUMAN	14735.31
A0A0C4DH90	IGKV3OR2-268	116	Ig-like domain-containing protein	HUMAN	14658.14
A0A0C5B5G6	MT-RNR1	16	Mitochondrial-derived peptide MOTS-c	HUMAN	2444.85
A0A0D9SF12	CCDC163	145	Transmembrane protein CCDC163	HUMAN	18797.15
A0A0G2JKD1	MUC21	596	Mucin-21	HUMAN	67892.2099999998
A0A0G2JKW9	ENSG00000257215	36	Uncharacterized protein	HUMAN	4125.56
A0A0G2JLE6	KRTAP4-8	195	HCG2042992	HUMAN	24215.85
A0A0G2JLG4	ASIC5	411	Acid-sensing ion channel 5	HUMAN	53984.52
A0A0G2JLJ8	IGHD5OR15-5A	7	Immunoglobulin heavy diversity 5/OR15-5A (non-functional)	HUMAN	853.98
A0A0G2JLM5	ENSG00000274243	398	Uncharacterized protein	HUMAN	50992.92
A0A0G2JLQ3	ENSG00000276676	304	Uncharacterized protein	HUMAN	39056.86
A0A0G2JMD5	PRAMEF33	474	PRAME family member 33	HUMAN	63613.67
A0A0G2JMH3	LOC107984156	177	ARL17 domain-containing protein	HUMAN	22544.46
A0A0G2JMH6	HLA-DRA	254	Ig-like domain-containing protein	HUMAN	33179.22
A0A0G2JMI3	IGHV1-69-2	117	Immunoglobulin heavy variable 1-69-2	HUMAN	14960.53
A0A0G2JMM0	ENSG00000274971	328	Uncharacterized protein	HUMAN	41896.44
A0A0G2JMP0	ENSG00000278776	313	G_PROTEIN_RECEP_F1_2 domain-containing protein	HUMAN	41003.66
A0A0G2JMS6	ENSG00000275428	1433	Uncharacterized protein	HUMAN	187159.649999999
A0A0G2JN01	KIR3DP1	328	Killer cell immunoglobulin-like receptor, three Ig domains pseudogene 1	HUMAN	41914.48
A0A0G2JN53	ENSG00000282676	185	Uncharacterized protein	HUMAN	23366.72
A0A0G2JN68	ENSG00000278414	375	Uncharacterized protein	HUMAN	47432.3
A0A0G2JND7	ENSG00000274063	137	Uncharacterized protein	HUMAN	18438.05
